date,open,high,low,close,3Ema,5Ema,Reversal,transaction,IntraDayExit,tradeNo,profit
2010-11-17,12630.9,12630.9,12050.35,12315.15,12315.15,12315.15,12315.150000000001,Sell,,1,0
2010-11-18,12325.75,12325.75,12013.65,12062.95,12189.05,12231.08,12315.150000000009,Sell,Buy,2,-10.60
2010-11-21,12120.8,12414.55,12054.55,12390.1,12289.58,12284.09,12357.183333333349,Buy,Buy,3,-294.23
2010-11-22,12318.8,12318.8,11891.35,12206.45,12248.01,12258.21,12267.63055555556,Sell,Sell,4,-122.47
2010-11-23,12206.0,12292.85,11746.75,11842.55,12045.28,12119.66,12288.79953703704,Sell,Buy,5,-82.35
2010-11-24,11897.9,11962.1,11608.3,11652.4,11848.84,11963.90,12342.780941358033,X,-,5,0
2010-11-25,11703.25,11874.55,11362.9,11668.85,11758.85,11865.55,12309.094585905354,X,-,5,0
2010-11-28,11731.35,11855.7,11707.85,11828.35,11793.60,11853.15,12185.675036436907,X,-,5,0
2010-11-29,11811.1,12031.25,11725.5,11952.6,11873.10,11886.30,12031.814347207946,X,-,5,0
2010-11-30,11987.7,12345.35,11963.85,12310.75,12091.92,12027.78,11925.908392930309,Buy,Buy,6,-145.15
2010-12-01,12411.0,12535.85,12389.65,12472.6,12282.26,12176.06,11835.363342682707,X,-,6,0
2010-12-02,12453.25,12464.1,12232.7,12349.2,12315.73,12233.77,11857.437768819727,X,-,6,0
2010-12-05,12427.95,12429.45,12011.5,12051.2,12183.47,12172.91,11987.889616062108,X,-,6,0
2010-12-06,12040.4,12040.4,11629.5,11695.3,11939.38,12013.71,12141.258629132557,Sell,Sell,7,-270.35
2010-12-07,11646.0,11646.0,11403.85,11460.2,11699.79,11829.21,12236.688528633946,X,-,7,0
2010-12-08,11470.65,11534.0,11043.95,11116.05,11407.92,11591.49,12217.450407028751,X,-,7,0
2010-12-09,11087.75,11482.7,10977.9,11447.0,11427.46,11543.32,12142.187631988898,X,-,7,0
2010-12-12,11527.35,11565.35,11270.1,11518.1,11472.78,11534.92,11890.918768310803,X,-,7,0
2010-12-13,11558.4,11623.7,11441.4,11560.5,11516.64,11543.44,11721.32601903296,X,-,7,0
2010-12-14,11478.85,11490.35,11150.95,11196.3,11356.47,11427.73,11623.857432768193,X,-,7,0
2010-12-15,11231.15,11484.95,11147.45,11424.15,11390.31,11426.54,11641.508331885234,X,-,7,0
